YEAR,LAKE,Date,DOC_mg_L,TIC_mg_L
2013,B,03-Jun-13,4.84,34.02
2013,P,04-Jun-13,8.65,38.29
2013,C,05-Jun-13,12.60,56.66
2013,L,07-Jun-13,11.15,58.02
2013,WC,10-Jun-13,15.78,53.28
2013,WW,10-Jun-13,15.57,52.37
2013,D,12-Jun-13,3.26,36.96
2013,K,14-Jun-13,11.12,52.69
2013,B,17-Jun-13,4.90,37.24
2013,P,18-Jun-13,10.25,45.81
2013,C,19-Jun-13,12.10,58.23
2013,L,21-Jun-13,10.91,57.62
2013,WW,24-Jun-13,14.30,52.50
2013,WC,24-Jun-13,14.21,52.02
2013,D,26-Jun-13,3.68,36.83
2013,K,28-Jun-13,10.95,52.96
2013,B,02-Jul-13,5.04,35.06
2013,P,03-Jul-13,10.56,46.25
2013,C,04-Jul-13,12.04,57.02
2013,L,05-Jul-13,10.91,57.50
2013,WC,08-Jul-13,13.48,49.51
2013,WW,08-Jul-13,13.34,49.11
2013,D,10-Jul-13,3.70,35.80
2013,K,12-Jul-13,11.02,53.42
2013,B,15-Jul-13,5.14,33.17
2013,P,16-Jul-13,10.41,47.12
2013,C,17-Jul-13,12.20,56.43
2013,L,19-Jul-13,10.85,56.76
2013,WW,22-Jul-13,15.59,55.46
2013,WC,22-Jul-13,15.64,55.47
2013,D,24-Jul-13,3.82,34.72
2013,K,26-Jul-13,10.75,52.11
2013,B,29-Jul-13,5.34,32.34
2013,P,30-Jul-13,10.31,48.56
2013,C,31-Jul-13,11.86,56.45
2013,L,02-Aug-13,10.96,57.68
2013,WC,06-Aug-13,13.89,48.78
2013,WW,06-Aug-13,13.55,47.54
2013,D,07-Aug-13,4.17,35.21
2013,K,09-Aug-13,11.62,48.85
2013,B,12-Aug-13,5.92,30.67
2013,P,13-Aug-13,11.57,48.84
2013,C,14-Aug-13,12.41,54.73
2013,L,16-Aug-13,11.53,56.37
2013,WC,19-Aug-13,14.83,48.85
2013,WW,19-Aug-13,15.13,48.92
2013,D,21-Aug-13,4.11,33.87
2013,K,23-Aug-13,11.56,48.12
2013,B,26-Aug-13,6.08,29.62
2013,P,27-Aug-13,11.78,47.96
2013,C,28-Aug-13,11.36,47.71
2013,L,30-Aug-13,10.70,52.84
2013,WW,13-May-13,11.68,33.94
2013,WC,13-May-13,11.54,31.81
2013,D,15-May-13,3.70,36.49
2013,K,17-May-13,12.25,58.90
2013,B,21-May-13,4.91,30.93
2013,P,22-May-13,9.21,44.53
2013,C,23-May-13,12.55,54.92
2013,WW,27-May-13,14.19,46.58
2013,WC,27-May-13,14.01,45.29
2013,D,29-May-13,3.44,36.93
2014,B,12-May-14,11.43,51.08
2014,B,26-May-14,5.83,31.99
2014,B,09-Jun-14,5.93,33.32
2014,B,23-Jun-14,6.33,34.20
2014,B,07-Jul-14,6.87,33.98
2014,B,21-Jul-14,7.44,35.45
2014,B,05-Aug-14,7.96,35.92
2014,B,18-Aug-14,8.21,37.25
2014,C,14-May-14,6.11,32.59
2014,C,28-May-14,11.77,54.14
2014,C,11-Jun-14,11.73,54.25
2014,C,25-Jun-14,11.61,54.44
2014,C,23-Jul-14,14.68,57.16
2014,C,07-Aug-14,14.64,59.32
2014,C,20-Aug-14,14.18,60.27
2014,D,21-May-14,3.99,36.70
2014,D,04-Jun-14,4.18,37.11
2014,K,01-Aug-14,11.46,52.90
2014,K,15-Aug-14,4.42,38.40
2014,L,16-May-14,10.73,54.74
2014,L,30-May-14,11.37,59.06
2014,L,13-Jun-14,11.61,58.68
2014,L,27-Jun-14,11.58,58.70
2014,L,11-Jul-14,11.58,59.27
2014,L,25-Jul-14,11.79,58.10
2014,L,08-Aug-14,11.95,59.31
2014,L,22-Aug-14,12.07,58.80
2014,P,13-May-14,10.18,45.46
2014,P,27-May-14,11.20,54.39
2014,P,24-Jun-14,10.99,54.96
2014,P,08-Jul-14,12.26,55.16
2014,P,22-Jul-14,13.29,55.34
2014,P,06-Aug-14,13.34,58.92
2014,P,19-Aug-14,13.48,60.68
2014,WC,05-May-14,15.07,41.82
2014,WC,20-May-14,15.70,49.42
2014,WC,02-Jun-14,15.44,51.18
2014,WC,16-Jun-14,15.69,60.11
2014,WC,30-Jun-14,15.48,50.14
2014,WC,14-Jul-14,23.04,58.55
2014,WC,28-Jul-14,25.97,69.74
2014,WC,11-Aug-14,23.73,68.14
2014,WW,05-May-14,14.59,42.80
2014,WW,20-May-14,15.67,50.91
2014,WW,02-Jun-14,15.54,52.97
2014,WW,16-Jun-14,15.62,59.42
2014,WW,30-Jun-14,16.35,51.71
2014,WW,14-Jul-14,22.62,58.45
2014,WW,28-Jul-14,26.07,70.46
2014,WW,11-Aug-14,23.06,67.89
2014,D,18-Jun-14,4.23,37.78
2014,D,02-Jul-14,4.65,38.02
2014,D,16-Jul-14,11.92,52.93
2014,D,30-Jul-14,4.97,38.33
2014,D,13-Aug-14,5.93,33.32
2014,K,23-May-14,10.76,49.73
2014,K,06-Jun-14,11.44,49.78
2014,K,20-Jun-14,11.33,50.19
2014,K,04-Jul-14,10.55,50.90
2014,K,17-Jul-14,11.73,51.06
